frame.number,frame.time_epoch,eth.src,eth.dst,ip.ttl,ip.src,udp.srcport,ip.dst,udp.dstport,data
,,,,,,,,,
1,1473411962, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, APPL_11_13.4
2,1473411962, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 0 Price: 1623
3,1473411962, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 0 Price: 1623
4,1473411963, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 0 Price: 1623
5,1473411963, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 0 Price: 1623
6,1473411963, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 1 Price: 1649
7,1473411963, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 1 Price: 1649
8,1473411964, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 1 Price: 1649
9,1473411964, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 1 Price: 1649
10,1473411964, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 2 Price: 1642
11,1473411964, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 2 Price: 1642
12,1473411965, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 2 Price: 1642
13,1473411965, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 2 Price: 1642
14,1473411965, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 3 Price: 1636
15,1473411965, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 3 Price: 1636
16,1473411966, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 3 Price: 1636
17,1473411966, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 3 Price: 1636
18,1473411966, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 4 Price: 1669
19,1473411966, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 4 Price: 1669
20,1473411967, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 4 Price: 1669
21,1473411967, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 4 Price: 1669
22,1473411967, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 5 Price: 1639
23,1473411967, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 5 Price: 1639
24,1473411968, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 5 Price: 1639
25,1473411968, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 5 Price: 1639
26,1473411968, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 6 Price: 1611
27,1473411968, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 6 Price: 1611
28,1473411969, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 6 Price: 1611
29,1473411969, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 6 Price: 1611
30,1473411969, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 7 Price: 1660
31,1473411969, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 7 Price: 1660
32,1473411969, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 7 Price: 1660
33,1473411970, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 7 Price: 1660
34,1473411970, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 8 Price: 1657
35,1473411970, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 8 Price: 1657
36,1473411971, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 8 Price: 1657
37,1473411971, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 8 Price: 1657
38,1473411971, 3c:07:54:0d:62:3c, 01:00:5e:16:00:03,64, 10.10.10.3,33000, 239.22.0.3,51000, Symbol: APPL Seqno: 9 Price: 1509
39,1473411971, 3c:07:54:0d:62:3c, 01:00:5e:16:00:04,64, 10.10.10.4,33000, 239.22.0.4,51000, Symbol: APPL Seqno: 9 Price: 1509
40,1473411972, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 9 Price: 1509
41,1473411972, 3c:07:54:0d:62:3c, 01:00:5e:16:00:02,64, 10.10.10.2,33000, 239.22.0.2,51000, Symbol: APPL Seqno: 9 Price: 1509
42,1473411972, 3c:07:54:0d:62:3c, 01:00:5e:16:00:01,64, 10.10.10.1,33000, 239.22.0.1,51000, Symbol: APPL Seqno: 10 Price: 1514
